+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                                              ;
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                                          ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; tx_inst0|tx_reset_inst0|tx_reset_inst|g_tx.g_tx[0].g_tx.counter_tx_ready                                                                                                                                                           ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tx_inst0|tx_reset_inst0|tx_reset_inst|g_tx.g_tx[0].g_tx.counter_tx_digitalreset                                                                                                                                                    ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tx_inst0|tx_reset_inst0|tx_reset_inst|g_tx.g_tx[0].g_tx.resync_tx_cal_busy                                                                                                                                                         ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tx_inst0|tx_reset_inst0|tx_reset_inst|g_pll.counter_pll_powerdown                                                                                                                                                                  ; 4     ; 2              ; 0            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tx_inst0|tx_reset_inst0|tx_reset_inst                                                                                                                                                                                              ; 12    ; 10             ; 1            ; 10             ; 7      ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tx_inst0|tx_reset_inst0                                                                                                                                                                                                            ; 5     ; 1              ; 0            ; 1              ; 4      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tx_inst0|tx_reconfig_inst0|tx_reconfig_inst|basic|a5|bundle                                                                                                                                                                        ; 187   ; 42             ; 10           ; 42             ; 221    ; 42              ; 42            ; 42              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tx_inst0|tx_reconfig_inst0|tx_reconfig_inst|basic|a5|pif[1].pif_arb                                                                                                                                                                ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tx_inst0|tx_reconfig_inst0|tx_reconfig_inst|basic|a5|pif[0].pif_arb                                                                                                                                                                ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tx_inst0|tx_reconfig_inst0|tx_reconfig_inst|basic|a5|lif[0].logical_if|pif_tbus_mux                                                                                                                                                ; 27    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tx_inst0|tx_reconfig_inst0|tx_reconfig_inst|basic|a5|lif[0].logical_if|lif_csr|l2paddr                                                                                                                                             ; 16    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tx_inst0|tx_reconfig_inst0|tx_reconfig_inst|basic|a5|lif[0].logical_if|lif_csr|l2pch                                                                                                                                               ; 8     ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tx_inst0|tx_reconfig_inst0|tx_reconfig_inst|basic|a5|lif[0].logical_if|lif_csr                                                                                                                                                     ; 57    ; 0              ; 0            ; 0              ; 93     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tx_inst0|tx_reconfig_inst0|tx_reconfig_inst|basic|a5|lif[0].logical_if                                                                                                                                                             ; 122   ; 0              ; 0            ; 0              ; 151    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
