+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                                              ;
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                                          ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; m_0|tx_0|tx_reset_inst0|tx_reset_inst|g_tx.g_tx[0].g_tx.counter_tx_ready                                                                                                                                                           ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reset_inst0|tx_reset_inst|g_tx.g_tx[0].g_tx.counter_tx_digitalreset                                                                                                                                                    ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reset_inst0|tx_reset_inst|g_tx.g_tx[0].g_tx.resync_tx_cal_busy                                                                                                                                                         ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reset_inst0|tx_reset_inst|g_pll.counter_pll_powerdown                                                                                                                                                                  ; 4     ; 2              ; 0            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reset_inst0|tx_reset_inst|g_reset_sync.alt_xcvr_resync_reset                                                                                                                                                           ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reset_inst0|tx_reset_inst                                                                                                                                                                                              ; 12    ; 10             ; 1            ; 10             ; 7      ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reset_inst0                                                                                                                                                                                                            ; 5     ; 1              ; 0            ; 1              ; 4      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|basic|a5|bundle                                                                                                                                                                        ; 187   ; 42             ; 10           ; 42             ; 221    ; 42              ; 42            ; 42              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|basic|a5|pif[1].pif_arb                                                                                                                                                                ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|basic|a5|pif[0].pif_arb                                                                                                                                                                ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|basic|a5|lif[0].logical_if|pif_tbus_mux                                                                                                                                                ; 27    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|basic|a5|lif[0].logical_if|lif_csr|l2paddr                                                                                                                                             ; 16    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|basic|a5|lif[0].logical_if|lif_csr|l2pch                                                                                                                                               ; 8     ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|basic|a5|lif[0].logical_if|lif_csr                                                                                                                                                     ; 57    ; 0              ; 0            ; 0              ; 93     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|basic|a5|lif[0].logical_if                                                                                                                                                             ; 122   ; 0              ; 0            ; 0              ; 151    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|basic|a5                                                                                                                                                                               ; 135   ; 0              ; 0            ; 0              ; 207    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|basic                                                                                                                                                                                  ; 135   ; 0              ; 0            ; 0              ; 207    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|cal_seq                                                                                                                                                                                ; 13    ; 12             ; 0            ; 12             ; 14     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|dcd.sc_dcd|inst_alt_xcvr_reconfig_dcd_av|inst_alt_xreconf_cif|mutex_inst                                                                                                               ; 74    ; 0              ; 2            ; 0              ; 71     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|dcd.sc_dcd|inst_alt_xcvr_reconfig_dcd_av|inst_alt_xreconf_cif|inst_basic_acq                                                                                                           ; 95    ; 0              ; 0            ; 0              ; 104    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|dcd.sc_dcd|inst_alt_xcvr_reconfig_dcd_av|inst_alt_xreconf_cif                                                                                                                          ; 96    ; 16             ; 1            ; 16             ; 72     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|dcd.sc_dcd|inst_alt_xcvr_reconfig_dcd_av|inst_alt_xcvr_reconfig_dcd_cal|inst_alt_xcvr_reconfig_dcd_control                                                                             ; 23    ; 0              ; 0            ; 0              ; 45     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|dcd.sc_dcd|inst_alt_xcvr_reconfig_dcd_av|inst_alt_xcvr_reconfig_dcd_cal                                                                                                                ; 23    ; 0              ; 0            ; 0              ; 45     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|dcd.sc_dcd|inst_alt_xcvr_reconfig_dcd_av|inst_alt_xreconf_uif|wait_gen|rst_sync                                                                                                        ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|dcd.sc_dcd|inst_alt_xcvr_reconfig_dcd_av|inst_alt_xreconf_uif|wait_gen                                                                                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|dcd.sc_dcd|inst_alt_xcvr_reconfig_dcd_av|inst_alt_xreconf_uif                                                                                                                          ; 106   ; 66             ; 0            ; 66             ; 76     ; 66              ; 66            ; 66              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|dcd.sc_dcd|inst_alt_xcvr_reconfig_dcd_av                                                                                                                                               ; 76    ; 0              ; 0            ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|dcd.sc_dcd                                                                                                                                                                             ; 75    ; 0              ; 0            ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|direct.sc_direct|mutex_inst                                                                                                                                                            ; 74    ; 1              ; 2            ; 1              ; 72     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|direct.sc_direct                                                                                                                                                                       ; 73    ; 0              ; 0            ; 0              ; 71     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|analog.sc_analog|reconfig_analog_cv|inst_xreconf_cif|mutex_inst                                                                                                                        ; 74    ; 0              ; 2            ; 0              ; 71     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|analog.sc_analog|reconfig_analog_cv|inst_xreconf_cif|inst_basic_acq                                                                                                                    ; 94    ; 0              ; 0            ; 0              ; 104    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|analog.sc_analog|reconfig_analog_cv|inst_xreconf_cif                                                                                                                                   ; 95    ; 0              ; 1            ; 0              ; 104    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|analog.sc_analog|reconfig_analog_cv|inst_analog_datactrl|inst_rmw_sm                                                                                                                   ; 80    ; 3              ; 0            ; 3              ; 32     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|analog.sc_analog|reconfig_analog_cv|inst_analog_datactrl|inst_analog_ctrlsm                                                                                                            ; 10    ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|analog.sc_analog|reconfig_analog_cv|inst_analog_datactrl                                                                                                                               ; 79    ; 7              ; 0            ; 7              ; 83     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|analog.sc_analog|reconfig_analog_cv|inst_xreconf_uif|wait_gen|rst_sync                                                                                                                 ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|analog.sc_analog|reconfig_analog_cv|inst_xreconf_uif|wait_gen                                                                                                                          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|analog.sc_analog|reconfig_analog_cv|inst_xreconf_uif                                                                                                                                   ; 106   ; 0              ; 0            ; 0              ; 86     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|analog.sc_analog|reconfig_analog_cv                                                                                                                                                    ; 74    ; 0              ; 0            ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|analog.sc_analog                                                                                                                                                                       ; 73    ; 0              ; 0            ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|offset.sc_offset|offset_cancellation_av|mutex_inst                                                                                                                                     ; 74    ; 17             ; 2            ; 17             ; 72     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|offset.sc_offset|offset_cancellation_av|wait_gen|rst_sync                                                                                                                              ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|offset.sc_offset|offset_cancellation_av|wait_gen                                                                                                                                       ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|offset.sc_offset|offset_cancellation_av                                                                                                                                                ; 82    ; 0              ; 32           ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|offset.sc_offset                                                                                                                                                                       ; 105   ; 24             ; 0            ; 24             ; 72     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|arbiter                                                                                                                                                                                ; 11    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst|inst_reconfig_reset_sync                                                                                                                                                               ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0|tx_reconfig_inst                                                                                                                                                                                        ; 153   ; 52             ; 0            ; 52             ; 209    ; 52              ; 52            ; 52              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_reconfig_inst0                                                                                                                                                                                                         ; 135   ; 0              ; 0            ; 0              ; 174    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_native_inst0|tx_native_inst|av_reconfig_bundle_merger_inst                                                                                                                                                             ; 232   ; 0              ; 4            ; 0              ; 232    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_0|tx_0|tx_native_inst0|tx_native_inst|gen_native_inst.av_xcvr_native_insts[0].gen_bonded_group_native.av_xcvr_native_inst|inst_av_xcvr_avmm|avmm_interface_insts[0].sv_xcvr_avmm_csr_inst|gen_status_reg_tx.alt_xcvr_resync_inst ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
